20520269: |Acc X:0.10, Acc Y:-0.91, Acc Z:9.92 |Gyr X:-0.02, Gyr Y:-0.01, Gyr Z:-0.02 |Mag X:-0.04, Mag Y:0.46, Mag Z:-0.47 |q0:0.95, q1:0.00, q2:0.01, q3:-0.31 |Roll:0.15, Pitch:0.85, Yaw:-36.27
20520369: |Acc X:0.54, Acc Y:-0.70, Acc Z:10.30 |Gyr X:-0.00, Gyr Y:0.00, Gyr Z:-0.03 |Mag X:-0.03, Mag Y:0.47, Mag Z:-0.47 |q0:0.95, q1:0.00, q2:0.01, q3:-0.31 |Roll:0.14, Pitch:0.84, Yaw:-36.28
20520469: |Acc X:0.04, Acc Y:-0.38, Acc Z:10.46 |Gyr X:0.05, Gyr Y:-0.01, Gyr Z:-0.07 |Mag X:-0.03, Mag Y:0.46, Mag Z:-0.47 |q0:0.95, q1:0.00, q2:0.01, q3:-0.31 |Roll:0.16, Pitch:0.84, Yaw:-36.31
20520569: |Acc X:-0.45, Acc Y:-0.35, Acc Z:9.80 |Gyr X:0.06, Gyr Y:0.01, Gyr Z:-0.04 |Mag X:-0.03, Mag Y:0.46, Mag Z:-0.47 |q0:0.95, q1:0.00, q2:0.01, q3:-0.31 |Roll:0.18, Pitch:0.84, Yaw:-36.34
20520669: |Acc X:-0.78, Acc Y:-0.46, Acc Z:9.56 |Gyr X:0.03, Gyr Y:0.01, Gyr Z:-0.04 |Mag X:-0.03, Mag Y:0.47, Mag Z:-0.46 |q0:0.95, q1:0.00, q2:0.01, q3:-0.31 |Roll:0.21, Pitch:0.84, Yaw:-36.36
20520769: |Acc X:-0.55, Acc Y:-0.08, Acc Z:9.31 |Gyr X:0.03, Gyr Y:0.01, Gyr Z:-0.02 |Mag X:-0.04, Mag Y:0.46, Mag Z:-0.47 |q0:0.95, q1:0.00, q2:0.01, q3:-0.31 |Roll:0.23, Pitch:0.85, Yaw:-36.38
20520869: |Acc X:0.11, Acc Y:0.10, Acc Z:9.80 |Gyr X:0.03, Gyr Y:0.01, Gyr Z:-0.02 |Mag X:-0.03, Mag Y:0.46, Mag Z:-0.47 |q0:0.95, q1:0.00, q2:0.01, q3:-0.31 |Roll:0.25, Pitch:0.85, Yaw:-36.39
20520969: |Acc X:-0.25, Acc Y:0.54, Acc Z:10.03 |Gyr X:0.03, Gyr Y:-0.00, Gyr Z:-0.05 |Mag X:-0.03, Mag Y:0.46, Mag Z:-0.47 |q0:0.95, q1:0.00, q2:0.01, q3:-0.31 |Roll:0.27, Pitch:0.86, Yaw:-36.42
20521069: |Acc X:-0.42, Acc Y:0.72, Acc Z:10.06 |Gyr X:0.05, Gyr Y:-0.04, Gyr Z:-0.04 |Mag X:-0.04, Mag Y:0.46, Mag Z:-0.47 |q0:0.95, q1:0.00, q2:0.01, q3:-0.31 |Roll:0.29, Pitch:0.85, Yaw:-36.44
20521169: |Acc X:0.18, Acc Y:0.80, Acc Z:9.61 |Gyr X:0.03, Gyr Y:-0.02, Gyr Z:-0.02 |Mag X:-0.04, Mag Y:0.46, Mag Z:-0.47 |q0:0.95, q1:0.00, q2:0.01, q3:-0.31 |Roll:0.30, Pitch:0.84, Yaw:-36.46
20521269: |Acc X:-0.13, Acc Y:1.00, Acc Z:9.26 |Gyr X:-0.00, Gyr Y:-0.02, Gyr Z:-0.02 |Mag X:-0.04, Mag Y:0.46, Mag Z:-0.47 |q0:0.95, q1:0.00, q2:0.01, q3:-0.31 |Roll:0.32, Pitch:0.83, Yaw:-36.47
20521369: |Acc X:-0.42, Acc Y:1.09, Acc Z:8.82 |Gyr X:0.01, Gyr Y:-0.03, Gyr Z:-0.01 |Mag X:-0.04, Mag Y:0.45, Mag Z:-0.47 |q0:0.95, q1:0.00, q2:0.01, q3:-0.31 |Roll:0.33, Pitch:0.82, Yaw:-36.48
20521469: |Acc X:-0.10, Acc Y:0.78, Acc Z:9.35 |Gyr X:-0.02, Gyr Y:-0.01, Gyr Z:0.01 |Mag X:-0.04, Mag Y:0.46, Mag Z:-0.47 |q0:0.95, q1:0.00, q2:0.01, q3:-0.31 |Roll:0.32, Pitch:0.81, Yaw:-36.48
20521569: |Acc X:-0.21, Acc Y:0.71, Acc Z:9.83 |Gyr X:-0.04, Gyr Y:0.00, Gyr Z:0.02 |Mag X:-0.03, Mag Y:0.46, Mag Z:-0.48 |q0:0.95, q1:0.00, q2:0.01, q3:-0.31 |Roll:0.31, Pitch:0.80, Yaw:-36.47
20521669: |Acc X:-0.37, Acc Y:0.60, Acc Z:10.20 |Gyr X:-0.04, Gyr Y:0.02, Gyr Z:0.00 |Mag X:-0.03, Mag Y:0.46, Mag Z:-0.47 |q0:0.95, q1:0.00, q2:0.01, q3:-0.31 |Roll:0.29, Pitch:0.81, Yaw:-36.47
20521769: |Acc X:-0.29, Acc Y:0.30, Acc Z:10.10 |Gyr X:-0.01, Gyr Y:0.02, Gyr Z:0.03 |Mag X:-0.03, Mag Y:0.46, Mag Z:-0.48 |q0:0.95, q1:0.00, q2:0.01, q3:-0.31 |Roll:0.27, Pitch:0.82, Yaw:-36.45
